exact_ref prompt=24 tokens=7 kv=f64 act=Ours threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	6	245	1191	0.0573	0.0573	0.0330
1	7	6265	6265	0.2902	0.0000	0.1244
2	8	280	280	8.7545	0.0000	9.2116
3	9	1191	1191	1.2948	0.0000	1.3178
4	10	6881	6881	0.0307	0.0000	0.1840
5	11	11	11	0.7716	0.0000	0.7994
6	12	2847	2847	0.0451	0.0000	0.0712
7	13	3613	3613	0.2591	0.0000	0.4093
8	14	4863	4863	3.2398	0.0000	3.1082
9	15	11	11	1.2471	0.0000	1.1272
10	16	4921	4921	0.1365	0.0000	0.3828
11	17	9159	9159	1.2029	0.0000	0.9671
12	18	11	11	2.8926	0.0000	2.9168
13	19	285	285	2.3602	0.0000	2.2550
14	20	3029	3029	0.6531	0.0000	0.4436
15	21	9247	9247	0.9991	0.0000	1.0120
16	22	13	13	0.7812	0.0000	0.9149
17	23	3410	3410	0.6228	0.0000	0.5012
18	24	4096	4096	0.2270	0.0000	0.2072
19	25	418	418	0.1247	0.0000	0.1856
20	26	5405	5405	0.1405	0.0000	0.2178
21	27	276	276	6.4700	0.0000	6.5768
22	28	13341	13341	0.1195	0.0000	0.1147
23	29	11817	11817	3.5851	0.0000	3.7461
24	30	285	285	0.7360	0.0000	0.7144
25	31	1099	1099	1.5375	0.0000	1.6354
26	32	17801	17801	1.9686	0.0000	1.8977
27	33	2853	2853	3.0870	0.0000	2.9833
28	34	331	331	7.4293	0.0000	7.2808
29	35	254	254	1.2363	0.0000	1.3247
30	36	1191	1191	2.2253	0.0000	2.2815
  top5 step 30: 1191:34.4407 2782:32.2154 2324:32.2072 1757:32.0184 4188:31.7426
