exact_ref prompt=14 tokens=5 kv=f64 act=Ours threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	4	245	245	0.0869	0.0000	0.0017
1	5	8420	8420	0.9718	0.0000	0.7582
2	6	93154	93154	9.4593	0.0000	9.3237
3	7	2355	2355	11.5288	0.0000	11.1906
4	8	280	280	1.7571	0.0000	1.7390
5	9	3973	3973	0.4443	0.0000	0.3701
6	10	207	207	5.0927	0.0000	5.2304
7	11	20	16	0.1243	0.1243	0.1316
8	12	285	285	0.6944	0.0000	0.5907
9	13	634	634	0.6866	0.0000	0.7997
10	14	280	280	0.3358	0.0000	0.0678
11	15	895	895	3.1662	0.0000	3.2327
12	16	12882	12882	1.6420	0.0000	1.8369
13	17	317	317	0.2824	0.0000	0.1254
14	18	207	207	0.7411	0.0000	0.8040
15	19	18	18	0.0956	0.0000	0.0444
16	20	13	13	3.2489	0.0000	2.8457
17	21	11424	11424	0.3655	0.0000	0.3800
18	22	254	254	4.2182	0.0000	4.1818
19	23	3973	3973	1.1719	0.0000	1.6292
20	24	280	280	7.6161	0.0000	7.6405
21	25	254	254	5.2744	0.0000	5.1585
22	26	750	750	2.7904	0.0000	3.0393
23	27	2758	2758	7.2257	0.0000	6.8422
24	28	13	13	3.4266	0.0000	3.5740
25	29	185	185	2.9972	0.0000	2.7686
26	30	185	185	2.5519	0.0000	2.2568
27	31	4160	4160	0.8463	0.0000	0.6456
28	32	363	363	0.8753	0.0000	0.7866
29	33	87	87	1.9048	0.0000	2.0151
30	34	3	3	5.7911	0.0000	6.5052
  top5 step 30: 3:27.3505 403:21.5593 1928:20.0125 28:19.5307 62:19.3358
