exact_ref prompt=22 tokens=9 kv=f64 act=Ours threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	8	4047	4047	2.4684	0.0000	2.2044
1	9	11	11	1.3322	0.0000	1.1627
2	10	4484	4484	1.7514	0.0000	1.8466
3	11	11	11	3.2375	0.0000	3.1612
4	12	7960	7960	4.5996	0.0000	4.8595
5	13	11	11	3.3681	0.0000	3.2013
6	14	6524	6524	5.4934	0.0000	5.2864
7	15	11	11	2.3942	0.0000	2.1055
8	16	11326	11326	4.1186	0.0000	3.4837
9	17	11	11	2.1626	0.0000	2.0719
10	18	2146	2146	3.6736	0.0000	3.8676
11	19	11	11	0.5575	0.0000	0.5334
12	20	26566	26566	2.7589	0.0000	2.7310
13	21	11	11	2.4650	0.0000	2.7820
14	22	15367	15367	4.2217	0.0000	4.3931
15	23	11	11	1.0030	0.0000	0.9688
16	24	40114	40114	2.3226	0.0000	2.4886
17	25	11	11	2.9038	0.0000	3.0763
18	26	35614	35614	2.7755	0.0000	2.7471
19	27	11	11	3.6517	0.0000	3.8284
20	28	20378	20378	2.3964	0.0000	2.6510
21	29	11	11	2.7923	0.0000	2.8015
22	30	34550	34550	3.8084	0.0000	3.6746
23	31	11	11	4.0891	0.0000	3.8198
24	32	49028	49028	2.5617	0.0000	2.5910
25	33	11	11	4.2962	0.0000	4.3839
26	34	33852	33852	3.0994	0.0000	3.3636
27	35	11	11	4.0691	0.0000	3.8937
28	36	62587	62587	4.2975	0.0000	4.4257
29	37	11	11	3.3562	0.0000	3.2448
30	38	8522	8522	4.4773	0.0000	4.4832
  top5 step 30: 8522:24.6024 285:20.1252 185:18.8071 47867:18.1742 57262:17.8896
