exact_ref prompt=13 tokens=6 kv=f64 act=Ours threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	5	20210	20210	0.7186	0.0000	0.8294
1	6	881	881	0.3170	0.0000	0.3362
2	7	254	254	2.3642	0.0000	2.3734
3	8	2563	2563	0.4735	0.0000	0.4604
4	9	11	11	0.0298	0.0000	0.0660
5	10	711	711	0.6831	0.0000	0.5732
6	11	3545	3545	0.7213	0.0000	0.7290
7	12	6163	6163	0.3510	0.0000	0.2748
8	13	10237	10237	1.4041	0.0000	1.5316
9	14	276	276	4.4065	0.0000	4.2738
10	15	254	254	2.3586	0.0000	2.3831
11	16	2317	2317	0.7674	0.0000	0.8807
12	17	4071	4071	0.5490	0.0000	0.6302
13	18	344	344	0.6089	0.0000	0.6016
14	19	36994	23494	0.1727	0.1727	0.1244
15	20	254	254	3.2366	0.0000	3.2887
16	21	3787	3787	1.6372	0.0000	1.5644
17	22	10404	10404	0.0129	0.0000	0.1558
18	23	13	13	0.4621	0.0000	0.3318
19	24	429	429	1.0962	0.0000	1.1445
20	25	4281	4281	1.6432	0.0000	1.6855
21	26	438	438	1.3763	0.0000	1.3972
22	27	5007	5007	1.1135	0.0000	1.4850
23	28	11	11	3.7397	0.0000	3.7159
24	29	30026	30026	2.2885	0.0000	2.1575
25	30	245	245	2.3259	0.0000	2.3179
26	31	6284	6284	1.0925	0.0000	0.9733
27	32	14544	14544	0.6371	0.0000	0.7227
28	33	23191	23191	2.2225	0.0000	2.3195
29	34	855	855	0.8318	0.0000	1.1918
30	35	254	254	3.9228	0.0000	3.8124
  top5 step 30: 254:38.4656 3694:34.5428 12404:32.0836 711:30.6868 1131:30.6596
