exact_ref prompt=4 tokens=9 kv=f64 act=Ours threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	8	39048	39048	2.2002	0.0000	1.8164
1	9	13	13	0.9505	0.0000	1.0185
2	10	809	809	0.9612	0.0000	0.8089
3	11	317	317	1.1544	0.0000	1.0043
4	12	245	245	1.1946	0.0000	1.2691
5	13	5817	5817	5.6514	0.0000	5.9131
6	14	16310	16310	7.4901	0.0000	7.2331
7	15	11	11	0.2076	0.0000	0.2485
8	16	4569	4569	0.5324	0.0000	0.5442
9	17	359	359	1.0086	0.0000	1.1125
10	18	317	2845	0.0808	0.0808	0.0679
11	19	1401	1401	0.7290	0.0000	0.2405
12	20	9565	581	0.1900	0.1900	0.0141
13	21	280	280	3.0460	0.0000	2.9810
14	22	5817	5817	1.3580	0.0000	1.1764
15	23	285	285	2.0815	0.0000	1.9377
16	24	2845	2845	0.3365	0.0000	0.3975
17	25	6	487	0.1352	0.1352	0.0073
18	26	83	83	12.0523	0.0000	12.0504
19	27	463	463	8.6912	0.0000	8.5159
20	28	245	245	7.0800	0.0000	7.4052
21	29	6201	6201	2.9758	0.0000	3.5047
22	30	5438	5438	8.3410	0.0000	8.2308
23	31	13	13	0.6534	0.0000	0.4549
24	32	39048	39048	0.8987	0.0000	0.6424
25	33	317	317	1.8559	0.0000	1.8439
26	34	558	558	0.8151	0.0000	0.7733
27	35	2567	2567	1.6498	0.0000	1.6113
28	36	344	344	3.6048	0.0000	3.6766
29	37	359	359	1.3404	0.0000	1.0928
30	38	1027	1027	2.0781	0.0000	2.5453
  top5 step 30: 1027:39.5294 481:37.4513 744:35.6822 6:35.1826 317:34.0230
