exact_ref prompt=26 tokens=7 kv=f64 act=Ours threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	6	2685	2685	1.2876	0.0000	1.4132
1	7	11	11	0.2114	0.0000	0.1686
2	8	1373	1373	0.3894	0.0000	0.5027
3	9	2685	2685	3.2754	0.0000	2.8106
4	10	2602	2602	4.5331	0.0000	4.0024
5	11	2685	2685	4.0519	0.0000	3.3683
6	12	21479	21479	0.1803	0.0000	1.0935
7	13	34550	34550	5.3161	0.0000	5.3534
8	14	13	13	2.0283	0.0000	2.1343
9	15	185	185	0.3818	0.0000	0.5354
10	16	185	185	0.7499	0.0000	0.4886
11	17	549	549	1.3195	0.0000	1.2983
12	18	7742	7742	3.0139	0.0000	3.0836
13	19	4343	4343	3.2377	0.0000	3.3493
14	20	280	280	4.8451	0.0000	4.6377
15	21	34550	34550	0.8984	0.0000	0.9132
16	22	317	317	3.0742	0.0000	3.0753
17	23	2685	2685	0.5046	0.0000	0.7686
18	24	11	11	0.4657	0.0000	1.1416
19	25	1373	1373	3.8797	0.0000	3.7032
20	26	2685	2685	4.6647	0.0000	5.1568
21	27	2602	2602	2.9242	0.0000	2.8445
22	28	2685	2685	7.4313	0.0000	7.2104
23	29	21479	21479	4.7102	0.0000	5.0003
24	30	34550	34550	8.6512	0.0000	8.4098
25	31	13	13	6.8694	0.0000	6.8227
26	32	185	185	2.0558	0.0000	1.7406
27	33	185	185	0.4485	0.0000	2.5100
28	34	549	549	1.1613	0.0000	0.6208
29	35	7742	7742	4.4067	0.0000	4.3108
30	36	4343	4343	5.5799	0.0000	5.7359
  top5 step 30: 4343:30.6460 15822:25.0660 280:24.3393 1604:21.5941 317:21.5058
