exact_ref prompt=3 tokens=2 kv=f64 act=Ours threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	1	11	11	0.5415	0.0000	0.5298
1	2	601	304	0.0506	0.0506	0.0595
2	3	1210	1210	0.9523	0.0000	1.0291
3	4	317	317	5.4837	0.0000	5.4223
4	5	8688	8688	0.0316	0.0000	0.1224
5	6	285	285	0.0508	0.0000	0.0603
6	7	304	304	4.0894	0.0000	4.0177
7	8	608	608	1.2685	0.0000	1.2355
8	9	245	245	1.4381	0.0000	1.4901
9	10	207	207	1.5330	0.0000	1.5629
10	11	17	17	0.4201	0.0000	0.6812
11	12	15	15	0.3924	0.0000	0.2927
12	13	12	12	0.2278	0.0000	0.2562
13	14	5468	5468	1.1112	0.0000	1.4938
14	15	12	12	2.2526	0.0000	2.1763
15	16	843	843	8.5671	0.0000	8.3530
16	17	6710	8374	0.0207	0.0207	0.2454
17	18	473	473	0.6523	0.0000	0.3080
18	19	254	254	1.0162	0.0000	1.0953
19	20	7312	7312	0.3221	0.0000	0.2513
20	21	13	13	1.6538	0.0000	1.5719
21	22	304	304	1.2712	0.0000	1.3039
22	23	608	608	0.2234	0.0000	0.1878
23	24	5134	5134	2.1117	0.0000	2.3532
24	25	16208	16208	1.1538	0.0000	1.1670
25	26	327	327	0.9986	0.0000	0.8352
26	27	245	245	1.4259	0.0000	1.5085
27	28	5757	5757	1.9841	0.0000	1.9072
28	29	279	279	5.1883	0.0000	5.2924
29	30	3517	3517	0.5526	0.0000	0.5659
30	31	38683	38683	1.3929	0.0000	1.3488
  top5 step 30: 38683:32.8657 285:31.4727 10591:30.1533 430:30.1074 18155:29.7388
