exact_ref prompt=31 tokens=8 kv=f64 act=Ours threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	7	330	330	0.9181	0.0000	0.8604
1	8	1079	1079	0.1882	0.0000	0.0282
2	9	4977	4977	0.5299	0.0000	0.6869
3	10	13	13	2.0245	0.0000	1.8135
4	11	185	185	0.1525	0.0000	0.2701
5	12	185	185	1.8940	0.0000	1.4807
6	13	40	40	0.2287	0.0000	0.0069
7	14	463	463	0.1686	0.0000	0.1318
8	15	245	245	0.1436	0.0000	0.2632
9	16	1860	1860	0.4625	0.0000	0.1408
10	17	7254	7254	1.7985	0.0000	1.9573
11	18	327	327	1.6640	0.0000	1.8598
12	19	437	437	1.2786	0.0000	1.3718
13	20	13	13	0.8804	0.0000	1.0065
14	21	185	185	0.1800	0.0000	0.3336
15	22	185	185	4.3376	0.0000	4.3045
16	23	16	16	1.3384	0.0000	1.5309
17	24	13	13	1.6608	0.0000	1.6664
18	25	304	304	0.7337	0.0000	0.8066
19	26	2126	2126	0.1967	0.0000	0.3544
20	27	254	254	0.9764	0.0000	0.9009
21	28	9748	9748	1.5014	0.0000	1.4796
22	29	13	13	2.0195	0.0000	1.9069
23	30	185	185	0.3893	0.0000	0.6050
24	31	17	17	0.3882	0.0000	0.5829
25	32	13	13	7.8325	0.0000	8.0059
26	33	304	304	0.4347	0.0000	0.5449
27	34	2126	2126	0.3833	0.0000	0.5014
28	35	254	254	1.0217	0.0000	1.1473
29	36	9748	9748	0.3419	0.0000	0.2305
30	37	1373	558	0.0387	0.0387	0.1840
  top5 step 30: 558:27.9037 1373:27.8649 16783:27.7616 13:27.3998 11:26.4813
