exact_ref prompt=29 tokens=5 kv=f64 act=Ours threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	4	207	207	1.1920	0.0000	0.9439
1	5	23	23	1.9675	0.0000	0.2627
2	6	9811	9811	1.7680	0.0000	2.2020
3	7	13	13	1.4965	0.0000	1.4660
4	8	185	185	0.9409	0.0000	0.8641
5	9	185	185	1.5771	0.0000	1.5395
6	10	32	32	0.3052	0.0000	0.2329
7	11	12457	2683	0.0076	0.0076	0.1579
8	12	317	317	0.2658	0.0000	0.4924
9	13	245	245	1.0602	0.0000	1.2414
10	14	5606	5606	1.6433	0.0000	1.8917
11	15	280	280	10.3346	0.0000	10.3144
12	16	6583	6583	7.5754	0.0000	7.4653
13	17	1757	1757	7.2761	0.0000	7.7790
14	18	344	344	3.3868	0.0000	3.8451
15	19	1094	1094	4.6568	0.0000	5.3126
16	20	12439	12439	2.6057	0.0000	3.1195
17	21	10663	10663	7.2363	0.0000	7.5020
18	22	280	280	9.9339	0.0000	10.2088
19	23	207	207	1.1739	0.0000	1.8287
20	24	23	23	10.5390	0.0000	11.4272
21	25	9811	9811	3.5803	0.0000	3.4160
22	26	13	13	4.7771	0.0000	5.7086
23	27	3159	3159	0.0954	0.0000	0.4842
24	28	11	11	7.1620	0.0000	7.0175
25	29	745	745	2.5169	0.0000	1.4931
26	30	418	418	6.0063	0.0000	5.9386
27	31	16464	3073	0.9444	0.9444	0.5190
28	32	17442	17442	1.6974	0.0000	1.1034
29	33	1066	1066	1.0866	0.0000	1.7268
30	34	245	245	0.3917	0.0000	1.9318
  top5 step 30: 245:29.7584 5579:29.3667 359:29.2915 254:28.5051 3039:27.7871
