exact_ref prompt=16 tokens=11 kv=f64 act=Ours threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	10	2512	2512	5.8502	0.0000	5.5845
1	11	25	25	0.4667	0.0000	0.5631
2	12	12562	12562	0.4940	0.0000	0.9030
3	13	207	207	2.7348	0.0000	2.3470
4	14	2901	2901	1.3731	0.0000	0.8404
5	15	487	487	16.7662	0.0000	10.7670
6	16	23697	487	0.0502	0.0502	1.2950
7	17	88982	88982	7.3355	0.0000	7.2067
8	18	279	279	4.1107	0.0000	4.2532
9	19	254	254	9.2702	0.0000	8.7479
10	20	2764	2764	3.3515	0.0000	3.9217
11	21	276	276	9.2555	0.0000	9.4962
12	22	13067	13067	9.8344	0.0000	10.1281
13	23	429	429	0.6993	0.0000	0.5920
14	24	1906	1906	7.2839	0.0000	7.5405
15	25	791	791	20.4106	0.0000	20.1818
16	26	285	285	11.8610	0.0000	12.1787
17	27	25698	25698	10.0654	0.0000	9.6839
18	28	280	280	11.2999	0.0000	11.6153
19	29	66092	66092	13.7732	0.0000	12.7332
20	30	16531	16531	5.2153	0.0000	5.0919
21	31	11	11	4.3104	0.0000	4.3851
22	32	2489	2489	7.5490	0.0000	6.7624
23	33	276	276	9.4107	0.0000	10.1424
24	34	1529	1529	11.0069	0.0000	11.7338
25	35	7921	7921	1.2778	0.0000	1.5840
26	36	2481	2481	10.0706	0.0000	8.9485
27	37	245	245	12.2609	0.0000	10.9105
28	38	5532	5532	12.4493	0.0000	12.1903
29	39	280	280	10.2538	0.0000	10.4671
30	40	16725	16725	10.2076	0.0000	10.5919
  top5 step 30: 16725:40.4808 11492:30.2732 8168:28.1187 68700:27.7716 17473:24.3414
