exact_ref prompt=8 tokens=9 kv=f64 act=Ours threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	8	7742	7742	2.1086	0.0000	2.3769
1	9	33802	33802	4.5473	0.0000	4.7514
2	10	331	331	0.1476	0.0000	1.2444
3	11	2818	2818	2.1971	0.0000	2.5253
4	12	2387	2387	4.4234	0.0000	4.6890
5	13	11	11	0.1855	0.0000	0.1701
6	14	285	285	1.4545	0.0000	1.2956
7	15	254	254	0.3128	0.0000	0.3330
8	16	4899	4899	1.2270	0.0000	1.3404
9	17	418	418	0.0619	0.0000	0.1254
10	18	14801	14801	3.9599	0.0000	4.4498
11	19	457	457	4.9879	0.0000	4.7269
12	20	45507	45507	3.8421	0.0000	3.7765
13	21	13	13	3.4122	0.0000	3.1648
14	22	1494	1494	0.2392	0.0000	0.4181
15	23	2203	2203	1.9057	0.0000	1.9884
16	24	11	11	0.5336	0.0000	0.4396
17	25	825	245	0.0810	0.0810	0.5961
18	26	16	16	2.5421	0.0000	2.2724
19	27	11	11	3.7946	0.0000	3.7367
20	28	207	207	2.1360	0.0000	1.9402
21	29	17	17	2.9014	0.0000	1.9658
22	30	11	11	6.3078	0.0000	6.0240
23	31	207	207	2.3095	0.0000	1.9896
24	32	18	18	5.9040	0.0000	5.7855
25	33	11	11	0.8154	0.0000	0.5472
26	34	207	207	1.5831	0.0000	2.4850
27	35	19	19	3.7158	0.0000	4.0983
28	36	11	11	0.3055	0.0000	0.9510
29	37	207	207	2.5440	0.0000	3.1261
30	38	20	20	6.7335	0.0000	8.0393
  top5 step 30: 20:26.9318 790:20.1983 19:19.7982 2494:19.0238 17:18.4570
