exact_ref prompt=18 tokens=6 kv=f64 act=Ours threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	5	8397	8397	1.7124	0.0000	1.7304
1	6	15389	15389	0.9411	0.0000	0.9954
2	7	331	331	2.5815	0.0000	2.2209
3	8	11687	11687	1.1154	0.0000	1.4078
4	9	11	11	0.9985	0.0000	0.9602
5	10	14486	14486	2.1494	0.0000	1.7225
6	11	10750	10750	0.1747	0.0000	0.5255
7	12	207	207	2.4853	0.0000	2.6921
8	13	20	20	1.5880	0.0000	2.8148
9	14	15	15	11.1538	0.0000	11.7079
10	15	11	11	3.7434	0.0000	2.8811
11	16	15	15	1.6764	0.0000	1.7806
12	17	15	15	5.7564	0.0000	5.8674
13	18	15	15	10.5833	0.0000	10.3312
14	19	11	11	6.8747	0.0000	7.6201
15	20	15	15	8.2860	0.0000	8.3058
16	21	15	15	11.3643	0.0000	11.8893
17	22	15	15	6.4434	0.0000	6.7263
18	23	7742	7742	4.5519	0.0000	4.7251
19	24	6593	6593	1.7958	0.0000	2.0111
20	25	13	13	0.7884	0.0000	0.7963
21	26	809	809	1.1774	0.0000	1.2087
22	27	317	317	1.0297	0.0000	0.8244
23	28	254	78676	0.2250	0.2861	0.1038
24	29	4443	4443	2.3071	0.0000	2.1141
25	30	8397	8397	0.4052	0.0000	0.6166
26	31	280	280	0.7124	0.0000	0.2969
27	32	254	254	2.4240	0.0000	2.4567
28	33	1843	1843	4.2288	0.0000	3.8532
29	34	6	6	0.4963	0.0000	0.3958
30	35	82	82	9.4180	0.0000	9.4734
  top5 step 30: 82:28.2848 252:18.8668 7644:16.5834 3223:16.5593 6:15.6690
