exact_ref prompt=21 tokens=5 kv=f64 act=Ours threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	4	440	440	1.1167	0.0000	0.9138
1	5	18578	72600	0.3816	0.3816	0.1981
2	6	6673	6673	2.7699	0.0000	2.2966
3	7	1	1	3.6900	0.0000	3.4042
4	8	185	185	3.4388	0.0000	3.2395
5	9	185	185	2.3895	0.0000	2.4014
6	10	2	2	1.1088	0.0000	1.3140
7	11	4294	4294	0.0395	0.0000	0.1197
8	12	79251	79251	0.3571	0.0000	0.4514
9	13	285	285	3.1355	0.0000	3.5153
10	14	49911	49911	3.7538	0.0000	1.8703
11	15	185	185	1.2913	0.0000	2.1733
12	16	2	2	0.0442	0.0000	0.3945
13	17	18587	1257	0.0888	0.1408	0.0040
14	18	962	962	6.7971	0.0000	6.2574
15	19	79251	79251	1.5510	0.0000	1.7230
16	20	13	13	10.6914	0.0000	12.4002
17	21	4562	4562	6.4085	0.0000	6.0237
18	22	185	185	0.4585	0.0000	0.2343
19	23	2	2	3.0080	0.0000	2.6499
20	24	18587	18587	10.1866	0.0000	10.0987
21	25	962	962	6.5486	0.0000	6.6277
22	26	49911	49911	4.7895	0.0000	4.6921
23	27	185	185	6.8052	0.0000	7.0424
24	28	185	185	0.4815	0.0000	0.5061
25	29	2	2	2.1029	0.0000	2.1313
26	30	11353	11353	1.7828	0.0000	1.8819
27	31	254	254	3.7029	0.0000	3.0752
28	32	4183	4183	1.5883	0.0000	2.6714
29	33	185	185	5.4224	0.0000	5.3754
30	34	12207	12207	0.4452	0.0000	0.9029
  top5 step 30: 12207:24.4362 2:23.9910 185:20.4498 1679:15.8935 38:15.8669
