exact_ref prompt=19 tokens=9 kv=f64 act=Ours threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	8	5501	5501	6.4054	0.0000	5.7657
1	9	11	11	1.8746	0.0000	1.9919
2	10	395	395	0.0696	0.0000	0.3960
3	11	487	487	0.3789	0.0000	0.2440
4	12	313	313	0.1669	0.0000	0.3956
5	13	2149	2149	2.8756	0.0000	2.9705
6	14	245	245	0.5024	0.0000	0.5104
7	15	761	761	0.6301	0.0000	0.4943
8	16	3979	3979	0.3116	0.0000	0.0916
9	17	11	11	0.4600	0.0000	0.2990
10	18	285	285	1.9136	0.0000	2.2226
11	19	395	395	0.3186	0.0000	0.4613
12	20	481	481	0.2152	0.0000	0.2236
13	21	487	487	2.5505	0.0000	2.6325
14	22	83	83	12.7891	0.0000	11.9599
15	23	3825	3825	3.0556	0.0000	3.2359
16	24	276	276	1.0855	0.0000	0.8499
17	25	1296	1296	0.7534	0.0000	1.2317
18	26	340	340	0.7778	0.0000	1.0820
19	27	0	0	0.7126	0.0000	0.7544
20	28	185	185	2.4016	0.0000	2.3688
21	29	1380	1380	0.9380	0.0000	0.9304
22	30	487	487	1.3822	0.0000	1.4831
23	31	313	313	0.0694	0.0000	0.1840
24	32	803	803	1.0458	0.0000	1.0615
25	33	2074	2074	0.1528	0.0000	0.1402
26	34	430	430	8.4633	0.0000	8.4610
27	35	830	830	7.5995	0.0000	7.4175
28	36	855	11	0.1123	0.1123	0.1008
29	37	254	254	1.8619	0.0000	1.4546
30	38	2882	2882	0.6022	0.0000	0.5936
  top5 step 30: 2882:36.7114 1562:36.1092 8678:32.0436 6237:30.0431 11263:29.9893
