exact_ref prompt=28 tokens=9 kv=f64 act=Ours threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	8	2240	2240	0.4587	0.0000	0.5036
1	9	82586	82586	0.2055	0.0000	0.4829
2	10	636	636	1.7631	0.0000	1.9556
3	11	280	280	0.3079	0.0000	0.3658
4	12	7812	7812	1.2711	0.0000	1.5610
5	13	11	11	0.4250	0.0000	0.4433
6	14	548	548	2.1011	0.0000	2.0341
7	15	359	359	0.6784	0.0000	0.7017
8	16	839	839	0.2096	0.0000	0.3209
9	17	5982	5982	0.5426	0.0000	0.5468
10	18	10112	10112	0.2672	0.0000	0.5273
11	19	1245	1245	1.5563	0.0000	0.6818
12	20	279	279	1.4273	0.0000	1.3694
13	21	13	13	2.0119	0.0000	2.0051
14	22	429	185	0.0023	0.0023	0.0624
15	23	6982	6982	0.2383	0.0000	0.1436
16	24	11476	11476	7.5407	0.0000	7.5378
17	25	280	280	0.5832	0.0000	0.5825
18	26	7812	7812	7.3078	0.0000	7.0980
19	27	317	317	1.2534	0.0000	1.0806
20	28	245	245	0.1757	0.0000	0.1339
21	29	4077	4077	3.0018	0.0000	3.0561
22	30	280	280	8.1691	0.0000	8.3052
23	31	92063	92063	3.6070	0.0000	3.2742
24	32	1401	344	0.2352	0.2352	0.2324
25	33	276	280	0.1222	0.1222	1.6621
26	34	4088	4088	2.5690	0.0000	2.8894
27	35	254	254	5.2844	0.0000	5.2429
28	36	10112	10112	0.6117	0.0000	1.7963
29	37	22490	22490	3.9981	0.0000	3.8097
30	38	473	13	0.5032	0.5032	0.7089
  top5 step 30: 13:26.3682 473:25.8650 11:25.0038 1204:23.9552 2481:23.8017
