exact_ref prompt=12 tokens=7 kv=f64 act=Ik threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	6	37236	37236	3.7450	0.0000	3.9730
1	7	11	11	0.8978	0.0000	0.8880
2	8	588	588	1.2778	0.0000	1.1968
3	9	3450	3450	0.6236	0.0000	0.6012
4	10	473	473	9.1091	0.0000	8.7796
5	11	254	254	5.0543	0.0000	5.2164
6	12	13406	13406	6.6069	0.0000	6.7278
7	13	1734	1734	5.9712	0.0000	5.5471
8	14	327	327	0.6198	0.0000	0.5767
9	15	5299	5299	4.5196	0.0000	4.9245
10	16	11	11	4.1655	0.0000	3.9565
11	17	54150	54150	1.8153	0.0000	1.4112
12	18	377	377	5.8251	0.0000	5.1728
13	19	13	13	3.0560	0.0000	3.2058
14	20	8264	8264	0.7564	0.0000	0.6149
15	21	317	317	0.8931	0.0000	1.0192
16	22	245	245	1.9991	0.0000	2.1280
17	23	11471	17353	0.0468	0.0468	0.0108
18	24	3699	3699	5.0952	0.0000	5.1749
19	25	366	366	4.2749	0.0000	3.9324
20	26	23772	23772	1.8376	0.0000	1.9111
21	27	1604	1604	7.5005	0.0000	7.6081
22	28	207	207	7.5407	0.0000	7.2723
23	29	22	22	2.0561	0.0000	2.2501
24	30	24	24	10.2207	0.0000	10.2931
25	31	11	11	2.1761	0.0000	1.9361
26	32	4569	4569	0.2915	0.0000	0.0538
27	33	745	745	4.6077	0.0000	5.4276
28	34	418	418	8.7208	0.0000	8.7005
29	35	207	207	6.6694	0.0000	6.6823
30	36	22	22	5.6575	0.0000	5.7043
  top5 step 30: 22:30.3848 19:24.7274 16:21.1067 20:20.7132 2494:20.5607
