exact_ref prompt=6 tokens=6 kv=f64 act=Ik threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	5	6159	6159	2.1163	0.0000	1.7321
1	6	11	11	0.2908	0.0000	0.1584
2	7	285	285	0.0396	0.0000	0.1678
3	8	254	254	2.2722	0.0000	2.2031
4	9	9541	9541	3.0540	0.0000	2.9669
5	10	280	280	6.2943	0.0000	6.3273
6	11	6159	6159	2.2195	0.0000	2.4417
7	12	317	317	4.7628	0.0000	4.6992
8	13	3550	3550	3.6417	0.0000	3.6458
9	14	13	13	1.2457	0.0000	1.1991
10	15	185	185	0.8895	0.0000	0.9867
11	16	185	185	1.8317	0.0000	1.7110
12	17	549	549	1.3692	0.0000	1.4062
13	18	9541	9541	2.7063	0.0000	2.6467
14	19	280	280	5.9483	0.0000	5.9978
15	20	2156	581	0.2626	0.2655	0.0392
16	21	317	317	6.3802	0.0000	6.3298
17	22	4426	4426	1.9143	0.0000	2.0611
18	23	11	11	4.4474	0.0000	4.3324
19	24	285	285	5.3988	0.0000	5.1126
20	25	254	254	4.9515	0.0000	5.0390
21	26	9541	9541	7.8296	0.0000	7.5842
22	27	280	280	9.0838	0.0000	8.9753
23	28	4426	4426	6.9074	0.0000	6.4032
24	29	317	317	8.6999	0.0000	8.7002
25	30	2156	2156	6.4430	0.0000	6.4612
26	31	13	13	7.6770	0.0000	7.4994
27	32	185	185	3.6485	0.0000	3.8811
28	33	185	185	6.8936	0.0000	6.7710
29	34	549	549	3.0653	0.0000	3.1511
30	35	9541	9541	3.8287	0.0000	3.7226
  top5 step 30: 9541:29.6206 1246:25.7919 1734:24.6997 1604:24.6299 2512:24.2418
