exact_ref prompt=10 tokens=5 kv=f64 act=Ik threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	4	11303	11303	1.7549	0.0000	1.8456
1	5	11	11	2.1901	0.0000	2.1262
2	6	10967	10967	2.4528	0.0000	2.4293
3	7	11	11	2.5509	0.0000	2.5174
4	8	8202	8202	3.5471	0.0000	3.5521
5	9	11	11	2.6566	0.0000	2.5647
6	10	8652	8652	3.7966	0.0000	3.7301
7	11	11	11	2.1140	0.0000	1.9985
8	12	7926	7926	5.2383	0.0000	5.3875
9	13	185	185	2.2340	0.0000	2.0097
10	14	185	185	1.6871	0.0000	1.9101
11	15	1679	1679	0.8617	0.0000	0.8254
12	16	25452	25452	0.1901	0.0000	0.1953
13	17	280	280	0.5468	0.0000	0.2306
14	18	254	254	4.6405	0.0000	4.9961
15	19	14062	14062	1.4941	0.0000	1.1713
16	20	185	185	0.4079	0.0000	1.1155
17	21	185	185	2.4934	0.0000	2.3699
18	22	12	12	1.2876	0.0000	1.3651
19	23	9217	9217	0.3394	0.0000	0.2912
20	24	32511	32511	0.7983	0.0000	0.5286
21	25	746	746	0.6872	0.0000	0.2806
22	26	185	185	1.2492	0.0000	0.9333
23	27	207	207	0.1062	0.0000	0.2034
24	28	570	570	5.3384	0.0000	5.3154
25	29	9217	9217	0.2270	0.0000	0.2162
26	30	32682	32682	0.1200	0.0000	0.5148
27	31	62086	62086	0.8336	0.0000	0.8358
28	32	59668	59668	0.6302	0.0000	0.7017
29	33	414	414	2.3693	0.0000	1.9629
30	34	2008	656	0.4153	0.4153	0.4409
  top5 step 30: 656:21.6203 2008:21.2049 2181:19.9715 57974:19.4960 444:19.1900
