exact_ref prompt=19 tokens=9 kv=f64 act=Ik threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	8	5501	5501	6.1870	0.0000	5.7657
1	9	11	11	1.8762	0.0000	1.9919
2	10	395	395	0.4450	0.0000	0.3960
3	11	487	487	0.1538	0.0000	0.2440
4	12	313	313	0.2792	0.0000	0.3956
5	13	2149	2149	2.9805	0.0000	2.9705
6	14	245	245	0.4029	0.0000	0.5104
7	15	761	761	0.5596	0.0000	0.4943
8	16	3979	3979	0.1515	0.0000	0.0916
9	17	11	11	0.4036	0.0000	0.2990
10	18	285	285	1.8304	0.0000	2.2226
11	19	395	395	0.4327	0.0000	0.4613
12	20	481	481	0.3632	0.0000	0.2236
13	21	487	487	2.6989	0.0000	2.6325
14	22	83	83	12.7308	0.0000	11.9599
15	23	3825	3825	2.8849	0.0000	3.2359
16	24	276	276	0.6276	0.0000	0.8499
17	25	1296	1296	1.1187	0.0000	1.2317
18	26	340	340	0.8913	0.0000	1.0820
19	27	0	0	0.6535	0.0000	0.7544
20	28	185	185	2.3465	0.0000	2.3688
21	29	1380	1380	0.7847	0.0000	0.9304
22	30	487	487	1.4652	0.0000	1.4831
23	31	313	313	0.1371	0.0000	0.1840
24	32	803	803	1.0928	0.0000	1.0615
25	33	2074	2074	0.1291	0.0000	0.1402
26	34	430	430	8.3282	0.0000	8.4610
27	35	830	830	7.6473	0.0000	7.4175
28	36	855	855	0.0359	0.0000	0.1008
29	37	254	254	1.3127	0.0000	1.4546
30	38	2882	2882	0.6630	0.0000	0.5936
  top5 step 30: 2882:36.6660 1562:36.0031 8678:31.9630 20732:30.1190 11263:29.9605
