exact_ref prompt=20 tokens=10 kv=f64 act=Ik threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	9	5185	5185	6.4002	0.0000	6.3289
1	10	11	11	1.1093	0.0000	1.1205
2	11	8872	8872	0.9558	0.0000	0.8492
3	12	327	327	6.9141	0.0000	6.9044
4	13	3164	3164	0.1040	0.0000	0.0656
5	14	5909	5909	3.1095	0.0000	3.0691
6	15	11	11	0.3949	0.0000	0.4589
7	16	30503	30503	0.9664	0.0000	0.9519
8	17	97891	97891	1.9839	0.0000	2.1476
9	18	11	11	1.3263	0.0000	1.2385
10	19	285	285	3.5462	0.0000	3.6516
11	20	750	750	0.0192	0.0000	0.4001
12	21	14454	14454	0.5324	0.0000	0.5625
13	22	4908	4908	0.3548	0.0000	0.4153
14	23	13	13	2.8308	0.0000	2.9103
15	24	809	809	0.6789	0.0000	0.6942
16	25	317	317	1.5353	0.0000	1.5100
17	26	245	245	1.3891	0.0000	1.2708
18	27	4974	4974	2.7665	0.0000	2.9589
19	28	12	12	2.9080	0.0000	2.8980
20	29	7247	7247	2.4410	0.0000	1.8675
21	30	47032	47032	4.4423	0.0000	4.1149
22	31	2604	2604	1.6336	0.0000	1.6281
23	32	12138	12138	13.6585	0.0000	13.1277
24	33	344	344	0.1765	0.0000	0.2172
25	34	10420	5410	0.0621	0.0621	0.0988
26	35	245	245	0.5808	0.0000	0.7437
27	36	10981	10981	0.9126	0.0000	0.6952
28	37	7125	7125	0.6226	0.0000	0.4774
29	38	280	280	7.1978	0.0000	7.2205
30	39	29510	29510	4.0002	0.0000	4.0812
  top5 step 30: 29510:31.7225 15032:27.7223 49375:26.8463 27788:26.8456 7355:26.3187
