exact_ref prompt=17 tokens=4 kv=f64 act=Ik threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	3	21715	21715	7.6151	0.0000	7.4026
1	4	185	185	0.1010	0.0000	0.1502
2	5	185	185	0.2275	0.0000	0.4882
3	6	1558	1558	0.1263	0.0000	0.1406
4	7	752	752	0.3371	0.0000	0.2363
5	8	62	62	6.7000	0.0000	6.5978
6	9	2459	2459	0.3878	0.0000	0.4634
7	10	7	7	0.9838	0.0000	0.8427
8	11	2810	2810	0.2554	0.0000	0.2674
9	12	62	62	0.5751	0.0000	0.6903
10	13	1531	1531	0.4261	0.0000	0.4185
11	14	1780	1780	0.5670	0.0000	0.4176
12	15	185	185	5.5689	0.0000	5.5549
13	16	300	300	4.1085	0.0000	4.0861
14	17	1191	1191	0.8003	0.0000	0.6335
15	18	403	403	1.8587	0.0000	1.8938
16	19	21715	21715	0.3481	0.0000	0.4340
17	20	13	13	12.9679	0.0000	13.5107
18	21	1776	1776	2.2979	0.0000	2.1910
19	22	9307	9307	2.8609	0.0000	2.5542
20	23	7	7	5.9944	0.0000	5.8741
21	24	2810	2810	6.3373	0.0000	6.3582
22	25	62	62	7.7635	0.0000	8.2549
23	26	1531	1531	9.9503	0.0000	11.0917
24	27	8	8	1.1157	0.0000	1.2756
25	28	185	185	4.7070	0.0000	4.6470
26	29	300	300	3.1114	0.0000	3.1575
27	30	972	972	3.2757	0.0000	3.2568
28	31	1191	1191	3.4347	0.0000	3.2473
29	32	185	185	0.2959	0.0000	0.2833
30	33	185	185	1.6875	0.0000	1.6073
  top5 step 30: 185:23.8622 100001:22.1747 251:20.1963 300:19.3657 299:18.1209
