exact_ref prompt=15 tokens=9 kv=f64 act=Ik threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	8	8211	8211	1.7262	0.0000	1.8362
1	9	8196	8196	7.6221	0.0000	7.6112
2	10	13	13	0.3268	0.0000	0.3409
3	11	1063	1063	1.8507	0.0000	1.8406
4	12	438	438	0.5391	0.0000	0.5337
5	13	7722	7722	0.7073	0.0000	0.8213
6	14	331	331	1.9348	0.0000	1.9259
7	15	8520	8520	2.5858	0.0000	2.6641
8	16	207	207	9.1288	0.0000	9.2555
9	17	16	16	0.8260	0.0000	0.6065
10	18	16	16	8.1274	0.0000	8.1051
11	19	11	11	3.4883	0.0000	3.5709
12	20	207	207	5.9708	0.0000	5.9487
13	21	16	16	11.0145	0.0000	11.0701
14	22	22	22	9.2088	0.0000	9.3357
15	23	18	18	10.6533	0.0000	10.6821
16	24	17	17	9.4567	0.0000	9.4088
17	25	11	11	2.7322	0.0000	2.6422
18	26	279	279	1.4782	0.0000	1.4241
19	27	5653	5653	3.8549	0.0000	4.1093
20	28	4291	4291	3.9939	0.0000	4.4015
21	29	1569	1569	13.9749	0.0000	14.0092
22	30	6936	6936	7.7838	0.0000	8.1214
23	31	11	11	8.3975	0.0000	8.1030
24	32	13838	13838	6.9147	0.0000	6.8422
25	33	13	13	0.8999	0.0000	0.9628
26	34	1063	1063	0.3205	0.0000	0.4024
27	35	438	438	0.5873	0.0000	0.6269
28	36	245	245	0.7895	0.0000	0.7038
29	37	668	668	1.1037	0.0000	0.8758
30	38	280	280	1.8951	0.0000	1.7934
  top5 step 30: 280:32.5218 779:30.6267 366:29.3481 344:28.3835 3264:27.4616
