exact_ref prompt=3 tokens=2 kv=f64 act=Ik threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	1	11	11	0.4088	0.0000	0.5298
1	2	601	601	0.0634	0.0000	0.0595
2	3	1210	1210	1.2365	0.0000	1.0291
3	4	317	317	5.4076	0.0000	5.4223
4	5	8688	8688	0.0787	0.0000	0.1224
5	6	285	285	0.0230	0.0000	0.0603
6	7	304	304	3.9539	0.0000	4.0177
7	8	608	608	1.0562	0.0000	1.2355
8	9	245	245	1.5541	0.0000	1.4901
9	10	207	207	1.6187	0.0000	1.5629
10	11	17	17	0.8100	0.0000	0.6812
11	12	15	15	0.3385	0.0000	0.2927
12	13	12	12	0.3179	0.0000	0.2562
13	14	5468	5468	1.3934	0.0000	1.4938
14	15	12	12	2.0619	0.0000	2.1763
15	16	843	843	8.2364	0.0000	8.3530
16	17	6710	6710	0.0673	0.0000	0.2454
17	18	473	473	0.5274	0.0000	0.3080
18	19	254	254	1.1304	0.0000	1.0953
19	20	7312	7312	0.4618	0.0000	0.2513
20	21	13	13	1.6472	0.0000	1.5719
21	22	304	304	1.2540	0.0000	1.3039
22	23	608	608	0.2371	0.0000	0.1878
23	24	5134	5134	2.4470	0.0000	2.3532
24	25	16208	16208	1.2960	0.0000	1.1670
25	26	327	327	0.8942	0.0000	0.8352
26	27	245	245	1.7631	0.0000	1.5085
27	28	5757	5757	1.8678	0.0000	1.9072
28	29	279	279	5.3408	0.0000	5.2924
29	30	3517	3517	0.6676	0.0000	0.5659
30	31	38683	38683	1.5041	0.0000	1.3488
  top5 step 30: 38683:33.0112 285:31.5071 430:30.3374 10591:30.1703 18155:29.8097
