exact_ref prompt=32 tokens=56 kv=f64 act=Ik threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	55	440	440	0.3991	0.0000	0.2121
1	56	30165	30165	0.1439	0.0000	0.1117
2	57	12	12	1.1533	0.0000	1.0009
3	58	29733	29733	4.8886	0.0000	4.2477
4	59	883	2859	0.3646	0.3646	0.1343
5	60	185	185	1.9041	0.0000	1.9456
6	61	185	185	2.5973	0.0000	2.6802
7	62	549	549	0.7655	0.0000	0.8115
8	63	11018	11018	1.9571	0.0000	1.9754
9	64	12	12	4.3090	0.0000	4.0298
10	65	29733	29733	6.2475	0.0000	6.4126
11	66	6263	6263	2.5745	0.0000	2.6023
12	67	317	317	1.1550	0.0000	1.2612
13	68	245	245	0.4873	0.0000	0.4392
14	69	2131	2976	0.1033	0.1033	0.0464
15	70	12	12	2.5391	0.0000	2.0498
16	71	2834	2834	3.0078	0.0000	3.3236
17	72	5379	5379	1.7235	0.0000	1.7331
18	73	12357	12357	2.5052	0.0000	2.3565
19	74	344	344	0.3842	0.0000	0.6426
20	75	317	317	0.2068	0.0000	0.0013
21	76	1222	1222	0.2640	0.0000	0.4516
22	77	279	279	0.7917	0.0000	0.8005
23	78	254	254	1.3016	0.0000	1.1311
24	79	56123	56123	1.5956	0.0000	1.8198
25	80	2019	2019	0.2271	0.0000	0.2630
26	81	13	13	1.4330	0.0000	1.3236
27	82	809	809	0.0740	0.0000	0.2194
28	83	317	317	1.4219	0.0000	1.6212
29	84	5405	5405	1.7281	0.0000	1.4087
30	85	276	276	4.7240	0.0000	4.9194
  top5 step 30: 276:39.9932 327:35.2692 10173:31.0089 372:30.9790 279:30.7893
