exact_ref prompt=25 tokens=8 kv=f64 act=Ik threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	7	254	254	0.5712	0.0000	0.5964
1	8	4247	4247	0.1660	0.0000	0.1601
2	9	362	362	1.0158	0.0000	1.0067
3	10	7130	7130	0.0708	0.0000	0.0180
4	11	13	13	0.1477	0.0000	0.1355
5	12	2130	2130	0.1538	0.0000	0.0717
6	13	438	438	1.9756	0.0000	1.8295
7	14	13595	13595	0.4782	0.0000	0.4706
8	15	331	331	0.9609	0.0000	0.8586
9	16	254	254	2.0787	0.0000	2.2722
10	17	3853	3853	0.8982	0.0000	1.0243
11	18	11	11	2.7077	0.0000	2.5999
12	19	711	711	0.4748	0.0000	0.4383
13	20	3123	3123	0.0814	0.0000	0.1661
14	21	68714	68714	0.0673	0.0000	0.0797
15	22	285	285	0.7892	0.0000	0.8160
16	23	6586	6586	1.0253	0.0000	0.9118
17	24	13	13	0.4511	0.0000	0.5464
18	25	1063	1063	0.4842	0.0000	0.4726
19	26	20521	20521	0.2162	0.0000	0.0629
20	27	711	711	3.4733	0.0000	3.3392
21	28	285	366	0.0072	0.0888	0.0164
22	29	3061	4586	0.0196	0.0196	0.0474
23	30	711	711	3.7644	0.0000	3.6820
24	31	1297	1297	0.7740	0.0000	0.8462
25	32	279	279	0.6543	0.0000	0.7145
26	33	586	586	5.4016	0.0000	5.4200
27	34	13	13	0.5579	0.0000	0.7861
28	35	185	185	0.7893	0.0000	0.6852
29	36	790	185	0.1166	0.1166	0.1059
30	37	40	40	0.7833	0.0000	0.6677
  top5 step 30: 40:22.1786 2819:21.3952 2054:20.8549 1385:20.7785 3673:20.2513
