exact_ref prompt=16 tokens=11 kv=f64 act=Ik threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	10	2512	2512	5.4707	0.0000	5.5845
1	11	25	25	0.4719	0.0000	0.5631
2	12	12562	12562	0.8080	0.0000	0.9030
3	13	207	207	2.3685	0.0000	2.3470
4	14	2901	2901	1.2704	0.0000	0.8404
5	15	487	487	11.5973	0.0000	10.7670
6	16	23697	23697	1.6218	0.0000	1.2950
7	17	88982	88982	7.4340	0.0000	7.2067
8	18	279	279	5.2795	0.0000	4.2532
9	19	254	254	8.6761	0.0000	8.7479
10	20	2764	2764	3.5082	0.0000	3.9217
11	21	276	276	9.2807	0.0000	9.4962
12	22	13067	13067	9.6444	0.0000	10.1281
13	23	429	429	0.5788	0.0000	0.5920
14	24	1906	1906	7.0100	0.0000	7.5405
15	25	791	791	20.6424	0.0000	20.1818
16	26	285	285	11.8484	0.0000	12.1787
17	27	25698	25698	9.7178	0.0000	9.6839
18	28	280	280	11.4470	0.0000	11.6153
19	29	66092	66092	12.9341	0.0000	12.7332
20	30	16531	16531	4.8783	0.0000	5.0919
21	31	11	11	4.3479	0.0000	4.3851
22	32	2489	2489	6.9628	0.0000	6.7624
23	33	276	276	10.0388	0.0000	10.1424
24	34	1529	1529	10.8875	0.0000	11.7338
25	35	7921	7921	1.3288	0.0000	1.5840
26	36	2481	2481	9.1117	0.0000	8.9485
27	37	245	245	11.3202	0.0000	10.9105
28	38	5532	5532	12.4442	0.0000	12.1903
29	39	280	280	10.6006	0.0000	10.4671
30	40	16725	16725	10.4878	0.0000	10.5919
  top5 step 30: 16725:40.5297 11492:30.0420 68700:28.2544 8168:27.9209 323:25.0257
