exact_ref prompt=22 tokens=9 kv=f64 act=Ik threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	8	4047	4047	2.1702	0.0000	2.2044
1	9	11	11	1.1451	0.0000	1.1627
2	10	4484	4484	1.7243	0.0000	1.8466
3	11	11	11	3.2447	0.0000	3.1612
4	12	7960	7960	4.5956	0.0000	4.8595
5	13	11	11	3.2266	0.0000	3.2013
6	14	6524	6524	5.1895	0.0000	5.2864
7	15	11	11	2.0714	0.0000	2.1055
8	16	11326	11326	3.5682	0.0000	3.4837
9	17	11	11	2.1873	0.0000	2.0719
10	18	2146	2146	3.6223	0.0000	3.8676
11	19	11	11	0.4866	0.0000	0.5334
12	20	26566	26566	2.6172	0.0000	2.7310
13	21	11	11	2.6826	0.0000	2.7820
14	22	15367	15367	4.0956	0.0000	4.3931
15	23	11	11	1.1438	0.0000	0.9688
16	24	40114	40114	2.3550	0.0000	2.4886
17	25	11	11	3.0636	0.0000	3.0763
18	26	35614	35614	2.8557	0.0000	2.7471
19	27	11	11	3.4808	0.0000	3.8284
20	28	20378	20378	2.3624	0.0000	2.6510
21	29	11	11	2.6796	0.0000	2.8015
22	30	34550	34550	3.6638	0.0000	3.6746
23	31	11	11	3.7484	0.0000	3.8198
24	32	49028	49028	2.3334	0.0000	2.5910
25	33	11	11	4.4070	0.0000	4.3839
26	34	33852	33852	3.4825	0.0000	3.3636
27	35	11	11	3.8562	0.0000	3.8937
28	36	62587	62587	4.1707	0.0000	4.4257
29	37	11	11	3.1193	0.0000	3.2448
30	38	8522	8522	4.3851	0.0000	4.4832
  top5 step 30: 8522:24.7585 285:20.3734 185:18.9713 47867:18.4206 57262:17.9212
