exact_ref prompt=30 tokens=8 kv=f64 act=Ik threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	7	8660	8660	2.5432	0.0000	2.5929
1	8	23768	23768	5.1490	0.0000	4.9652
2	9	13	13	1.1979	0.0000	1.1307
3	10	1063	1063	0.4688	0.0000	0.2946
4	11	438	438	1.6098	0.0000	1.5753
5	12	7722	7722	0.2713	0.0000	0.3433
6	13	331	331	0.8076	0.0000	0.6756
7	14	6511	6511	3.8259	0.0000	3.8140
8	15	207	207	6.7199	0.0000	6.8351
9	16	17	17	3.2687	0.0000	3.1539
10	17	18	18	0.9134	0.0000	0.8868
11	18	11	11	5.2184	0.0000	5.1897
12	19	207	207	5.7760	0.0000	5.5413
13	20	16	16	9.2770	0.0000	9.4406
14	21	20	20	9.3456	0.0000	9.4393
15	22	21	21	8.7399	0.0000	9.0527
16	23	19	19	9.8291	0.0000	9.6639
17	24	11	11	2.1797	0.0000	2.1566
18	25	279	279	2.7812	0.0000	2.8742
19	26	90262	90262	5.8144	0.0000	5.8263
20	27	12	12	8.0477	0.0000	7.6760
21	28	12758	12758	4.9620	0.0000	4.4517
22	29	12	12	8.0877	0.0000	7.6568
23	30	11983	11983	6.0439	0.0000	5.2356
24	31	249	249	12.3211	0.0000	12.0386
25	32	11	11	3.5716	0.0000	3.2148
26	33	6435	6435	4.1387	0.0000	4.0861
27	34	13	13	1.2204	0.0000	1.2082
28	35	23768	23768	0.9724	0.0000	1.0701
29	36	317	317	1.4687	0.0000	1.4591
30	37	13587	13587	1.5156	0.0000	1.4543
  top5 step 30: 13587:32.5374 4828:31.0217 2752:30.5251 3185:29.1835 245:29.0203
