exact_ref prompt=28 tokens=9 kv=f64 act=Ik threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	8	2240	2240	0.4192	0.0000	0.5036
1	9	82586	82586	0.6691	0.0000	0.4829
2	10	636	636	1.6661	0.0000	1.9556
3	11	280	280	0.3699	0.0000	0.3658
4	12	7812	7812	1.3902	0.0000	1.5610
5	13	11	11	0.3707	0.0000	0.4433
6	14	548	548	1.9749	0.0000	2.0341
7	15	359	359	0.6613	0.0000	0.7017
8	16	839	839	0.2901	0.0000	0.3209
9	17	5982	5982	0.7251	0.0000	0.5468
10	18	10112	10112	0.3928	0.0000	0.5273
11	19	1245	1245	0.4857	0.0000	0.6818
12	20	279	279	1.4152	0.0000	1.3694
13	21	13	13	1.9141	0.0000	2.0051
14	22	429	429	0.1179	0.0000	0.0624
15	23	6982	6982	0.1687	0.0000	0.1436
16	24	11476	11476	7.2794	0.0000	7.5378
17	25	280	280	0.6898	0.0000	0.5825
18	26	7812	7812	7.0872	0.0000	7.0980
19	27	317	317	1.0903	0.0000	1.0806
20	28	245	245	0.0890	0.0000	0.1339
21	29	4077	4077	2.8020	0.0000	3.0561
22	30	280	280	8.1715	0.0000	8.3052
23	31	92063	92063	2.9630	0.0000	3.2742
24	32	1401	344	0.2705	0.2705	0.2324
25	33	276	276	1.4737	0.0000	1.6621
26	34	4088	4088	2.2597	0.0000	2.8894
27	35	254	254	5.9086	0.0000	5.2429
28	36	10112	10112	1.2874	0.0000	1.7963
29	37	22490	22490	3.5880	0.0000	3.8097
30	38	473	473	1.0117	0.0000	0.7089
  top5 step 30: 473:28.5470 13:27.5353 11:26.3197 1204:25.4367 2494:24.5515
