exact_ref prompt=9 tokens=7 kv=f64 act=Ik threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	6	207	207	4.9413	0.0000	4.8169
1	7	16	16	1.2805	0.0000	1.2404
2	8	23	23	5.1368	0.0000	5.0650
3	9	21	21	8.2284	0.0000	8.1089
4	10	11	11	5.4024	0.0000	5.2541
5	11	17	17	1.0786	0.0000	1.1608
6	12	23	23	4.0804	0.0000	4.6581
7	13	17	17	6.1224	0.0000	5.9754
8	14	6593	6593	5.9379	0.0000	5.8886
9	15	513	513	3.1436	0.0000	3.0164
10	16	1864	1864	5.4765	0.0000	5.3237
11	17	13	13	1.1375	0.0000	1.1839
12	18	185	185	1.1626	0.0000	1.1670
13	19	185	185	0.9488	0.0000	1.1213
14	20	1679	1679	2.1734	0.0000	2.2947
15	21	1724	1724	0.9135	0.0000	0.6886
16	22	4311	4311	1.0036	0.0000	0.9395
17	23	317	317	2.1354	0.0000	2.1908
18	24	2156	254	0.0083	0.0083	0.0249
19	25	30	30	0.3476	0.0000	0.4059
20	26	185	185	4.6380	0.0000	4.8351
21	27	185	185	1.5442	0.0000	1.7246
22	28	549	549	0.2963	0.0000	0.3014
23	29	4583	4583	3.9376	0.0000	3.8749
24	30	280	280	5.3922	0.0000	5.3696
25	31	2156	2156	6.9239	0.0000	7.4044
26	32	317	317	2.2536	0.0000	1.9117
27	33	10750	10750	0.5414	0.0000	0.4719
28	34	207	207	6.0492	0.0000	6.2088
29	35	16	16	7.2346	0.0000	7.1173
30	36	23	23	7.4090	0.0000	7.3457
  top5 step 30: 23:35.5398 11:28.1308 13:25.6592 15:23.6404 16:23.4905
